iter	Passed	Remaining
555	43283	34564
556	43370	34493
557	43462	34427
558	43536	34346
559	43622	34274
560	43699	34196
561	43778	34118
562	43857	34042
563	43941	33968
564	44022	33893
565	44096	33812
566	44169	33731
567	44242	33649
568	44316	33568
569	44402	33496
570	44472	33412
571	44541	33328
572	44613	33246
573	44686	33164
574	44758	33082
575	44834	33002
576	44907	32921
577	44997	32852
578	45087	32784
579	45164	32705
580	45238	32624
581	45335	32560
582	45419	32486
583	45495	32407
584	45569	32327
585	45638	32243
586	45715	32164
587	45799	32091
588	45878	32013
589	45956	31935
590	46040	31862
591	46119	31785
592	46191	31703
593	46264	31622
594	46338	31541
595	46425	31469
596	46512	31397
597	46592	31321
598	46674	31246
599	46749	31166
600	46819	31082
601	46889	31000
602	46961	30918
603	47030	30834
604	47100	30751
605	47167	30666
606	47246	30589
607	47330	30515
608	47421	30446
609	47539	30393
610	47649	30336
611	47748	30271
612	47832	30197
613	47917	30123
614	48015	30058
615	48098	29983
616	48189	29913
617	48274	29839
618	48352	29761
619	48430	29683
620	48501	29601
621	48576	29521
622	48660	29446
623	48743	29371
624	48818	29290
625	48891	29210
626	48962	29127
627	49031	29044
628	49099	28960
629	49169	28877
630	49237	28793
631	49306	28709
632	49372	28625
633	49446	28544
634	49524	28467
635	49602	28388
636	49681	28311
637	49752	28229
638	49825	28148
639	49908	28073
640	49992	27998
641	50085	27929
642	50159	27849
643	50234	27769
644	50307	27688
645	50383	27609
646	50461	27531
647	50548	27458
648	50632	27383
649	50706	27303
650	50777	27221
651	50845	27138
652	50913	27055
653	50984	26973
654	51052	26890
655	51123	26808
656	51199	26729
657	51283	26655
658	51365	26579
659	51441	26500
660	51513	26418
661	51582	26336
662	51653	26255
663	51724	26173
664	51797	26093
665	51878	26017
666	51961	25941
667	52044	25866
668	52115	25785
669	52186	25703
670	52260	25624
671	52337	25545
672	52447	25483
673	52537	25411
674	52619	25335
675	52687	25252
676	52772	25177
677	52860	25104
678	52959	25036
679	53065	24972
680	53152	24898
681	53212	24811
682	53298	24737
683	53388	24664
684	53468	24587
685	53568	24519
686	53652	24444
687	53737	24369
688	53818	24292
689	53902	24217
690	53974	24136
691	54044	24054
692	54118	23974
693	54185	23891
694	54257	23810
695	54328	23729
696	54405	23651
697	54490	23576
698	54577	23501
699	54661	23426
700	54739	23348
701	54813	23268
702	54889	23189
703	54964	23110
704	55038	23030
705	55110	22949
706	55188	22871
707	55280	22799
708	55362	22722
709	55439	22644
710	55518	22566
711	55590	22485
712	55660	22404
713	55731	22323
714	55803	22243
715	55871	22161
716	55942	22080
